from_year,to_year,level,from_id,to_id,change_type,source_file
2017,2021,municipality,0906,4203,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0911,4211,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0912,4212,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0914,4213,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0919,4214,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0926,4215,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0928,4216,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0929,4217,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0935,4218,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0937,4219,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0938,4220,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0940,4221,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0941,4222,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1001,4204,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1003,4206,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1004,4207,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1014,4223,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1026,4224,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1029,4205,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1032,4225,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1034,4226,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1037,4227,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1046,4228,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1102,1108,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1201,4601,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1211,4611,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1216,4612,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1219,4613,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1221,4614,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1222,4615,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1223,4616,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1224,4617,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1231,4618,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1232,4619,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1233,4620,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1235,4621,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1238,4622,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1242,4623,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1243,3430,merge,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1244,4625,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1247,4627,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1251,4628,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1252,4629,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1253,4630,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1259,4626,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1264,4632,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1265,4633,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1266,4634,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1411,4635,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1412,4636,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1413,4637,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1416,4638,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1417,4639,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
